id,label
1242268800575250438,0
1237858444343791616,0
1245464439631069184,0
1237780185014992898,0
1234689481568972800,0
1245474059288227842,0
1238547516385361920,0
1245480365260779521,0
1247859114849513473,0
1253823681773568005,0
1238233459623157761,0
1247936605131804673,1
1237112457627402247,0
1238603178448429056,0
1237462660352036864,0
1240641124949209089,0
1245457284903456770,0
1247865392669831168,0
1253806277819588610,0
1250703777801424902,0
1250095228016623616,0
1251347326519529472,0
1244153814539800576,0
1249448881294884865,0
1245428906624192519,0
1247928765369499649,1
1251352598373941249,0
1251614116990590977,0
1249472437135212544,0
1253866362465849347,1
1250111677133135878,1
1247944811455352834,1
1248046049341648902,1
1241440282434043904,0
1248708929397428225,0
1255978235646656519,0
1250405270100066305,0
1251615598884401152,1
1254587359162765313,1
1254948010150199297,0
1242416259830091776,1
1239044514213507073,0
1251618447987007489,0
1235905003887497216,0
1242469448373669888,0
1239267490821259264,0
1250016485931716609,0
1250639938208641024,0
1248540860083404801,0
1247925491060944899,1
1254234111985713158,0
1255641706600509440,0
1253495646818107398,0
1235210774194376707,0
1237065148168372225,0
1254853785622646788,0
1250640785575378945,0
1247919860329390083,0
1235532488006676480,0
1253982209159110657,0
1253805188256870401,0
1247944484203171841,0
1250133223029473280,0
1244651091511390208,0
1244969800150978560,0
1241399527501901826,0
1253488118612754440,0
1250691200371261443,1
1248538373238784001,0
1243584060850688006,0
1238904172931670016,0
1241077140579368962,0
1239285179769913350,0
1251346018165231616,0
1248048071931543560,1
1243965227613523968,0
1238752611442065409,0
1235709754015694850,0
1237373378627067906,0
1248053275724783616,0
1239990267341570051,0
1248229514930462721,1
1244576753567379461,0
1250067864440242183,0
1251018427428483072,0
1244324211046395904,0
1250437403853991939,1
1244146392441991168,0
1240081335735275520,1
1247926750606213122,1
1250925199513595905,0
1239712247963947010,0
1251604120135401472,0
1248775550983962627,0
1247865178101776389,0
1248087208038477830,0
1248970256544083971,1
1250926701502173184,0
1249831962308759553,0
1244786062334943232,0
1254100507897008135,0
1250670035737116674,0
1251350961135718402,0
1241725889408315393,1
1244034145086562305,0
1244317272312872967,1
1237508919020273664,0
1247937047203123201,0
1253734693670879233,0
1240316543650738179,0
1249816473725472768,0
1237523917708771328,0
1249780404833443840,0
1238458615863934978,0
1241690707770949632,0
1251349827356512256,0
1249475395998617603,0
1239915748761284613,0
1250398466032824323,0
1251617523419746306,0
1249812937289555968,0
1238958252064411648,0
1250029467550060545,0
1248953090495127552,1
1255643633946169351,1
1235288718443008000,0
1249417521758961664,0
1249448781436854274,0
1248226998377463808,0
1250995411533418496,0
1249898990453379073,0
1253731886117126145,0
1250002206058782721,0
1250092061568765958,0
1237444004477841410,0
1250096255784620032,0
1248545683830964230,0
1238479618434387968,0
1241741112450191360,0
1235980625691185152,0
1248916539719520258,0
1238177488108425218,0
1251609328064364544,0
1238424057105780739,0
1238558141517889536,0
1251349086944612352,0
1237491043966357505,0
1244410436054892544,0
1239174731494043648,0
1238559735198162949,0
1237085861428199425,0
1234235344490504193,0
1237868825019744263,0
1235891302761410560,0
1235119684351074304,0
1244361283497058305,0
1248299974854676481,0
1251989301858009090,1
1243888519086514181,0
1243978563939979266,0
1238567213516361729,0
1239727306870054912,0
1238582331667091456,0
1238857010915008515,0
1238604095893749761,0
1244751655259832320,0
1238569570379673604,0
1242791984701603840,0
1241008277837709313,0
1240969419137974274,0
1237799758204407809,0
1244208353888305152,0
1240554611292934145,0
1248579132818100225,0
1242558221509971969,0
1245125524164431881,0
1247928007995645952,0
1244043501127503872,0
1244084223469895680,0
1253974510946201606,0
1255638460737753088,0
1236690222676619264,0
1244724112787898368,0
1245082618904948736,0
1249467994633363456,0
1248960800162709504,1
1238235745145454592,0
1248922207948062720,0
1245497135958839299,0
1238466296460738560,0
1244003793827762179,0
1249754763069214721,1
1248542527290068993,0
1248708268274462722,1
1250065414522048519,0
1249384475945033732,0
1248349502211317760,0
1248957193103331328,0
1248953733783920640,0
1254239089102131203,0
1250002040039911425,0
1237055340790808576,0
1244004147386613762,0
1244008722122276866,0
1244018135721807873,0
1244138665057628160,0
1244040511515758592,0
1250126902309814273,0
1238185706855501825,0
1236783934848917504,0
1244014495418257408,0
1243831567333699586,0
1235639991759486976,0
1244020957402009601,0
1244068052951597057,0
1236202660677726210,0
1236109288684257281,0
1244041535206969349,0
1236192075240165376,0
1241144756031426560,0
1250944768722509826,0
1247923896285880320,0
1238251584196415488,0
1250112791001923585,1
1236818787103465474,0
1248198948000600065,0
1253729192866385922,0
1248338703971475468,0
1250015578770804738,0
1241040724675776517,0
1239720476320169996,0
1234045004265467904,1
1238569695902674944,0
1242326581743366146,0
1248199222580727810,0
1251591225456631813,0
1249792885475737602,0
1249774740677500929,0
1248964893300142081,0
1236405053356941312,0
1237327028669554688,0
1243963886526771200,0
1247931664287834114,0
1240301006459723778,0
1235681320937959424,0
1238608401929768968,1
1238559515412398082,0
1223713109170446338,0
1235827966065537024,0
1235000860037599232,1
1242595541491617797,0
1244269120981532673,0
1244564377660985344,0
1248349653080444930,0
1223636590922280960,1
1248350368129519619,1
1244350283246972930,0
1250585332015403015,0
1251617418415390721,0
1249551383981850624,0
1244765068316889089,0
1236000919025864705,1
1250133366860587011,1
1250122037609353217,0
1250064756662243328,1
1241830314248454150,0
1251347048865071106,0
1253004087873994758,1
1238657254817218560,0
1253735687444201478,0
1239835863309258752,0
1241438606134333440,0
1239277307086471170,0
1243966773705220097,0
1250641072369422336,1
